순위,단어,빈도,,,
347,개발,19,,,
348,게이머,19,,,
349,공부,19,,,
350,광역,19,,,
351,나치,19,,,
352,단어,19,,,
353,달,19,,,
354,면,19,,,
355,몸,19,,,
356,문혁,19,,,
357,민족주의,19,,,
358,법,19,,,
359,베이징,19,,,
360,베트남,19,,,
361,봄,19,,,
362,부정,19,,,
363,비롯,19,,,
364,뽕,19,,,
365,사용,19,,,
366,서비스,19,,,
367,수련,19,,,
368,신경,19,,,
369,연구,19,,,
370,운영,19,,,
371,인터넷,19,,,
372,일단,19,,,
373,조상,19,,,
374,주변,19,,,
375,통일,19,,,
376,판,19,,,
377,평화,19,,,
378,필요,19,,,
379,후손,19,,,
380,공격,18,,,
381,공식,18,,,
382,기원,18,,,
383,넘버,18,,,
384,논란,18,,,
385,마찬가지,18,,,
386,만주족,18,,,
387,머릿수,18,,,
388,민주,18,,,
389,방법,18,,,
390,불매운동,18,,,
391,비호감,18,,,
392,세뇌,18,,,
393,시간,18,,,
394,시위,18,,,
395,시절,18,,,
396,씨,18,,,
397,이기,18,,,
398,정작,18,,,
399,중심,18,,,
400,중화민국,18,,,
401,파괴,18,,,
402,페이퍼,18,,,
403,표,18,,,
404,한국어,18,,,
405,환불,18,,,
406,활동,18,,,
407,관계,17,,,
408,남한,17,,,
409,대륙,17,,,
410,대표,17,,,
411,만세,17,,,
412,벌레,17,,,
413,복장,17,,,
414,비,17,,,
415,사과,17,,,
416,사이,17,,,
417,시기,17,,,
418,언어,17,,,
419,원조,17,,,
420,의견,17,,,
421,이전,17,,,
422,일베,17,,,
423,일부,17,,,
424,중화인민공화국,17,,,
425,패권,17,,,
426,펠레,17,,,
427,강제,16,,,
428,계정,16,,,
429,김치,16,,,
430,달라,16,,,
431,도움,16,,,
432,독도,16,,,
433,독립운동,16,,,
434,드립,16,,,
435,반박,16,,,
436,발견,16,,,
437,밥,16,,,
438,분서갱유,16,,,
439,붕괴,16,,,
440,빨갱이,16,,,
441,사투리,16,,,
442,왕,16,,,
443,웨이보,16,,,
444,자랑,16,,,
445,종교,16,,,
446,좌파,16,,,
447,중간,16,,,
448,즈그,16,,,
449,진실,16,,,
450,차원,16,,,
451,책,16,,,
452,컨텐츠,16,,,
453,테러,16,,,
454,표현,16,,,
455,피,16,,,
456,한자,16,,,
457,중궈,16,,,
458,각,15,,,
459,교류,15,,,
460,구글,15,,,
461,국제,15,,,
462,국회,15,,,
463,깡패,15,,,
464,딜,15,,,
465,맛,15,,,
466,먀오,15,,,
467,무,15,,,
468,무덤,15,,,
469,무엇,15,,,
470,보복,15,,,
471,사드,15,,,
472,수출,15,,,
473,시대,15,,,
474,씨발,15,,,
475,아리,15,,,
476,우호,15,,,
477,이면,15,,,
478,제일,15,,,
479,제품,15,,,
480,조작,15,,,
481,중립,15,,,
482,탱크,15,,,
483,통,15,,,
484,해결,15,,,
485,갓,14,,,
486,검열,14,,,
487,고조선,14,,,
488,단체,14,,,
489,대신,14,,,
490,동아시아,14,,,
491,명의,14,,,
492,모바일,14,,,
493,미래,14,,,
494,분노,14,,,
495,사회주의,14,,,
496,상관,14,,,
497,세력,14,,,
498,수입,14,,,
499,애국심,14,,,
500,의미,14,,,
501,이슈,14,,,
502,일방,14,,,
503,저기,14,,,
504,정리,14,,,
505,존경,14,,,
506,지도,14,,,
507,짜장,14,,,
508,차이,14,,,
