id,유저ID,내용
198,유성09,느그 복식만 중요하고 역사왜곡은 별로 문제가 아닌가봐 불쌍하다 공산주의란 사상 아래에 맞는 것도 틀리다해야하는 니들 정신이 
199,저기,읽으면 읽을수록 어이가 없네 korea는 과격적인 언사도 아닌데 왜 막으셨어요 지네문화 소중하면 남의나라문화 소중한 줄도 알아야지 하여간 짱깨 클라스 
200,현타,응 섭종 잘가고 전액 환불하고 가라 짱깨들아
201,131,느그 게임 하나 없어진다고 뭐 크게 달라질 거 같나 죄다 비슷한 양산형 뽑아놓고 특별한 척 오지네 자의식 과잉이다 그거 느그 게임 그렇게 재밌지도 않고 갓겜도 아닌데 지들만 갓겜인 줄 알고 끝까지 니네 때문에 접는거임 우리 접으면 니네가 피해보는거지 이지랄이네 일주일만에 망한 게 즈그들 탓이라고는 상상도 못한다 능지 딸리는 새끼들
202,무지FREE HONGKONG,양아치 새끼들아 내 돈 환불이나해줘
203,기분이안좋음,9시까지 개인정보 옮기는거에요 섭종할거면 뭐하러 점검 연장하고 있음 탈퇴 못하게 하려고
204,홍유한,중국을 모욕한계 우리가 한계에 다다른거라고 생각안해요 살다살다 이렇게 뻔뻔한 회사는 처음보내모욕은요 님들나라에서 한게 모욕이고 한복을 본인들꺼라고 한게 모욕이고 모욕을 했다치자 그사람들도 잘못있는데 왜 본인들 잘못은 인지목하고 본인들 잘못을 사과안하고 무작정 이따위말이지? 차라리 잘됬네요 섭종이라니 축하드립니다 만나서 더러웠고요 더 이상 보지맙시다
205,율 하,중국인들은 중국인들끼리 살아라 한국의 역사를 부러워서 배껴가는 걸로도 모자라 자기들 나라꺼라며 우기기까지하다니 부끄러운줄 알아라
206,로세,유저 데이터 다 삭제해라 돈도 다 환불해주고 아 진심 어이털려서 말이 안나오네
207,데이지ㅣ,환불은
208,Seoyoung,환불은 어케할건데
209,Stay,환불해줘 돈 먹고 튀냐
210,새히,중국을 모욕 
211,밍유,레전드다 개인정보는 지워주시죠 그리고 한복은 한국꺼야 
212,꼬보,우리의 한복을 지켜요 널리 퍼트려주세요 
213,얼그레이 좌,저 초코우유 사먹게 2400원 환불해주세요
214,애플은과수원,이건 꼭 환불해주쇼 임마들아 초코우유는 못참지
215,유리ㅇ,옳소 초코우유는 못참는다 샛기덜 환불이나 해죠라
216,무지FREE HONGKONG,하아 초코에몽이 두개
217,콩 순 이,시발. 나 니키 시작한지 이제 5일째인데 존나 열심히 개꿀로 하고 있었는데 시발 그짓말 치지 마세요
218,만나서 더러웠어ㅎㅎ,개인정보 어쩔꺼임
219,소솜,야 미친 환불은 하고 가
220,실버조,네 사업 잘 접으셧구요 그래서 환불은요
221,k4040y,에휴. 이래서 선진국 되겠니. 서버나 열어라 탈퇴하게
222,구름길만걷자,첨부터 계속 중국전통 전통 거리는데 끝까지 기분 더럽게 하네 환불이나 하세요
223,역린,중국기업으로서 우리의 입장은 늘 조국과 일치한다 개처웃기노
